session_id,question,answer,timestamp
a052ce6d-2d03-4c27-a7a5-9f1163b94618,have you experienced or witnessed any form of discrimination at work?,No.,1771394244
a052ce6d-2d03-4c27-a7a5-9f1163b94618,are company policies on human rights clearly communicated?,Yes.,1771394271
a052ce6d-2d03-4c27-a7a5-9f1163b94618,Are you satisfied with your current role?,Probably yes.,1771394295
a052ce6d-2d03-4c27-a7a5-9f1163b94618,Do you clearly understand your job responsibilities?,I think so.,1771394325
a052ce6d-2d03-4c27-a7a5-9f1163b94618,Are you satisfied with your work-life balance?,You,1771394347
f3a9448b-04bb-4cd6-b3d6-76f57f62f479,have you experienced or witnessed any form of discrimination at work?,"No, I haven't faced any discrimination yet.",1771394586
04ecf32b-19fb-4021-8c52-d781037616ad,have you experienced or witnessed any form of discrimination at work?,No.,1771396856
6698d026-2276-4061-ab68-8410d8c9e2e7,have you experienced or witnessed any form of discrimination at work?,.,1771397785
6698d026-2276-4061-ab68-8410d8c9e2e7,have you experienced or witnessed any form of discrimination at work?,No.,1771397859
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,Did you see the wall? No.,1771398573
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No.,1771398602
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No.,1771398628
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,are company policies on human rights clearly communicated?,Yes.,1771398637
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No.,1771398661
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,are company policies on human rights clearly communicated?,Yes.,1771398669
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Are you satisfied with your current role?,Probably yes,1771398675
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No,1771398706
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,are company policies on human rights clearly communicated?,Yes.,1771398713
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Are you satisfied with your current role?,Probably yes,1771398719
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Do you clearly understand your job responsibilities?,yes,1771398725
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No,1771398749
